FUND_CD,FUND_NM,FUND_CAT
1115,1115 Medicaid Waiver,1115 Medicaid Waiver
4911,2013ABIA Construction RevBonds,2013ABIA Construction RevBonds
4912,2013ABIA Terminal East Infill RevBonds,2013ABIA Terminal East Infill RevBonds
4910,ABIA Improvements,ABIA Improvements
9761,AE Debt Service Fund,AE Debt Service Fund
5070,Airport Operating Fund,Airport related fund
9660,Airport Revenue Bond Redemption Fund,Airport related fund
9650,Airport Variable Rate Bond Debt Service Fund,Airport related fund
7035,Animal Services Fund,Animal Services Fund
7860,ARIC Sustainability,ARIC Sustainability
4800,ARR-Austin Resource Recovery Cip,ARR-Austin Resource Recovery Cip
6241,ARRA - Tobacco Prevention,ARRA - Tobacco Prevention
4600,ARRA Wastewater Improvements--Nva,ARRA Wastewater Improvements--Nva
4720,ATD Transportation CIP,ATD Transportation CIP
7110,Austin Cable Access Fund,Austin related Fund
7050,Austin Code Fund,Austin related Fund
6920,Austin Energy Enterprise Grants,Austin related Fund
5010,Austin Energy Fund,Austin related Fund
7450,Austin History Center,Austin related Fund
5040,Austin Resource Recovery Fund,Austin related Fund
7731,Auto Theft Interdiction Seizur,Auto Theft Interdiction Seizur
9762,AWU Debt Service Fund,AWU Debt Service Fund
7020,Campaign Financing Fund,Campaign Financing Fund
7890,CAMPO (formerly ATS),CAMPO (formerly ATS)
5460,Capital Projects Management Fund,Capital Projects Management Fund
7790,Child Safety Fund,Child Safety Fund
7036,Citizen Corps Council Iniatives,Citizen Corps Council Iniatives
7029,City Hall Fund,City Hall Fund
7955,City Manager/OEM Misc,City Manager/OEM Misc
5490,"Combined Transportation, Emergency & Communications Ctr Fund","Combined Transportation, Emergency & Communications Ctr Fund"
5140,Communications and Technology Management Fund,Communications and Technology Management Fund
1007,Community Development Incentives Fund,Community Development Incentives Fund
6201,Community Diabetes Proj-FY08-09,Community Diabetes Proj-FY08-10
6118,Community Services Block Grant,Community Services Block Grant
6243,Community Transformation Grant,Community Transformation Grant
7650,Conservation Rebates and Incentives Fund,Conservation Rebates and Incentives Fund
9720,Conv Ctr Town Lake Park Venue Project Bond Redemption Fund,Conv Ctr Town Lake Park Venue Project Bond Redemption Fund
9700,Convention Center HOT Debt Service Fund,Convention Center related Fund
9722,Convention Center HOT Debt Service Fund-Subordinate Lien,Convention Center related Fund
1210,Convention Center Marketing and Promotion Fund,Convention Center related Fund
5060,Convention Center Operating Fund,Convention Center related Fund
5432,Convention Center Palmer Events Center Garage Fund,Convention Center related Fund
5430,Convention Center Palmer Events Center Operating Fund,Convention Center related Fund
1200,Convention Center Repair and Replacement Fund,Convention Center related Fund
9721,Convention Center Waller Creek Venue Debt Service Fund,Convention Center related Fund
7030,Cultural Arts Fund,Cultural Arts Fund
6510,Dept of State Health Services,Dept of State Health Services
7910,Downtown Public Improvement District,Downtown Public Improvement District
4850,Drainage Cip,Drainage Cip
5100,Drainage Utility Fund,Drainage Utility Fund
7911,E Sixth St Pub Impr Distr,E Sixth St Pub Impr Distr
3300,E-Capital Equipment Additions,E-Capital Equipment Additions
3250,E-Distribution Capital,E-Distribution Capital
3240,E-Distribution Substations Cap,E-Distribution Substations Cap
3260,E-Metering Capital,E-Metering Capital
3290,E-Support Services Capital,E-Support Services Capital
3310,E-Support Services Debt,E-Support Services Debt
3230,E-Transmission Capital,E-Transmission Capital
7911,East 6th Street Public Improvement District,East 6th Street Public Improvement District
7470,Economic Development Fund,Economic Development Fund
7916,Economic Incentives Reserve Fund,Economic Incentives Reserve Fund
5540,Electric Inventory Fund,Electric Inventory Fund
6131,Emergency Shelter Grant 2008-10,Emergency Shelter Grant 2008-11
7140,Employee Benefits Fund,Employee Benefits Fund
7930,Environmental Remediation Fund,Environmental Remediation Fund
7950,Fire Miscellaneous,Fire Miscellaneous
5280,Fleet Services Fund,Fleet Services Fund
4975,Floodplain Home Buyout Program,Floodplain Home Buyout Program
7695,Friends of APL,Friends of APL
6040,"Fund for Cities of Service, Inc","Fund for Cities of Service, Inc"
8605,GCP-Affordable Housing P5/2006,GCP
