OBJ_CD,OBJ_NM,GRP_NM
6450,Advertising/publication,Advertising/publication
7102,Agricultural/horticultural,Agricultural/horticultural
7485,Animal Supplies,Animal Supplies
8316,Arbitrage rebate-admin exp,Arbitrage rebate-admin exp
7116,Asphalt,Asphalt
9073,Auxiliary Generation Equipment,Auxiliary Generation Equipment
6361,Awards and Recognition,Awards and Recognition
7475,Bedding/linen,Bedding/linen
9029,Boats and marine equipments,Boats and marine equipments
7141,Boiler equipment,Boiler equipment
8103,Bond issue costs,Bond Related 
6325,Bond/theft/prof liab Insurance,Bond Related 
7486,Books-library,Books-library
7126,Bridges/carousels,Bridges/carousels
7123,Building material,Building Related
9021,Building/Remodel,Building Related
9885,Capital lease principal,Capital lease principal
6650,Car Sharing Programs,Car Sharing Programs
7815,Cash over/short,Cash over/short
7117,Cement/concrete,Cement/concrete
7134,Chemicals,Chemicals
6337,Child care program costs,Child care program costs
69AD,CIP appr-Commercial Paper,CIP apppr Related
69AC,CIP appr-Contractual Oblig,CIP apppr Related
69CQ,CIP appr-Convention Center/TLV,CIP apppr Related
69CU,CIP appr-CTM fund,CIP apppr Related
69CL,CIP appr-Drainage fund,CIP apppr Related
69AA,CIP appr-Gen Oblig bonds,CIP apppr Related
69CA,CIP appr-General Fund,CIP apppr Related
69BB,CIP appr-grants,CIP apppr Related
69CV,CIP appr-other fund transfers,CIP apppr Related
69AE,CIP appr-Revenue Bonds,CIP apppr Related
69CP,CIP appr-Water/Wastewater fund,CIP apppr Related
6950,CIP project appropriations,CIP apppr Related
6364,Claims-auto liability,Claims Related
6365,Claims-general liability,Claims Related
7478,Clothing/clothing material,Clothing/clothing material
6811,Commercial Incentives-AWU,Commercial Related
8142,Commercial paper admin exp,Commercial Related
6822,Commercial Recycling Rebate,Commercial Related
9055,Communications Equipment,Communications Equipment
6359,Compromise settlement agrmts,Compromise settlement agrmts
9045,Computer Hardware,Computer
9043,Computer Software,Computer
7510,Computer supplies,Computer
7114,Const/repair material-other,Const/repair material-other
5220,Consultant-benefits/compensat,Consultant
5230,Consultant-engineering,Consultant
5240,Consultant-financial,Consultant
5280,Consultant-others,Consultant
5260,Consulting-information technology,Consultant
6853,Credit Card Admin Fees,Credit Card Admin Fees
6343,Dental HMO Premiums,Dental HMO Premiums
7480,Dietary hardware,Dietary hardware
6174,Drainage fee expense,Drainage fee expense
7420,Drugs,Drugs
6532,Educational travel,Educational 
7454,Educational/promotional,Educational 
7146,Elctrcal conductors-hardware,Elctrcal
7145,Elctrcal conductors-wire&cable,Elctrcal
6160,Electric services,Electric Related
9074,Electric Transformers,Electric Related
7156,Electrical switchgear,Electric Related
7144,Electrical transformers,Electric Related
7127,Electrical/lighting,Electric Related
6408,Emergency systems telephone,Emergency systems telephone
6560,Employee bus passes,Employee Related
6520,Employee recruiting,Employee Related
6806,Energy Efficiency Rebates-AE,Energy Efficiency Rebates-AE
7139,Equipment-chillers,Equipment-chillers
8505,Expense refunds,Expense refunds
7103,Explosives/blasting,Explosives/blasting
6871,Federal unemployment tax co,Federal unemployment tax co
7157,Fibre-optic,Fibre-optic
6327,Fire/Extend Coverage Insurance,Fire/Extend Coverage Insurance
6252,Fleet-equip. accident repairs,Fleet-equip Related
6250,Fleet-equip.preventative maint,Fleet-equip Related
6251,Fleet-equip.unsched. repairs,Fleet-equip Related
7482,Food/Ice,Food 
7484,Food/storage for animals,Food 
6844,Franchise Fees - Rights of Way,Franchise Fees - Rights of Way
6810,Free Toilets-AWU,Free Toilets-AWU
7811,Freight,Freight
7136,Fuel-auxiliary equipment,Fuel-auxiliary equipment
9056,Furnishings,Furnishings
7150,Fuses and fusing apparatus,Fuses and fusing apparatus
6175,Garbage/refuse collection,Garbage/refuse collection
6162,Gas/heating fuels,Gas/heating fuels
7310,Gasoline/oil/grease,Gasoline/oil/grease
6324,General Liability Insurance,General Liability Insurance
6843,Government permits and fees,Government permits and fees
6820,Grant cost-support of other,Grant Related
8503,Grant reimbursement,Grant Related
6826,Grants to others-NHC nonsubre,Grant Related
6825,Grants to others/subrecipients,Grant Related
7122,Hardware/wire/steel,Hardware/wire/steel
6872,Health Care Reform Fees & Taxes,Health Care Reform Fees & Taxes
6812,Help Program-AWU,Help Program-AWU
6821,Home Composting Rebate,Home Composting Rebate
6813,Household Efficiency-AWU,Household Related
7135,Household/cleaning supplies,Household Related
7456,Identification,Identification
9012,Improvements to Grounds,Improvements to Grounds
8000,Indirect costs-FMC 74-4,Indirect costs-FMC 74-5
6323,Insurance-boiler/dwelling,Insurance-boiler/dwelling
6203,Interdepartmental Charges,Interdepartmental 
8502,Interdepartmental reimbursements,Interdepartmental 
6225,Interdept-Services HVAC,Interdept
6227,Interdept-Services Plumbing,Interdept
6210,Interdeptl-contractual svcs,Interdept
6208,Interdeptl-council priorities,Interdept
6230,Interdeptl-other,Interdept
6236,Interdeptl-PW CPM charges,Interdept
8351,Interest payment D/S funds,Interest
8115,Interest-general,Interest
7730,Inventory purchases,Inventory purchases
6814,Irrigation Efficiency-AWU,Irrigation Efficiency-AWU
6209,ITD-Grant Matching Funds,ITD-Grant Matching Funds
9001,Land,Land
9003,Land-Relocation Cost,Land
6815,Landscape Conversion Rebate-AWU,Landscape Conversion Rebate-AWU
6852,Laundry expense,Laundry expense
6355,Legal claims/damages,Legal claims/damages
